id,name,selling_price,year,seller_type,owner,km_driven,ex_showroom_price,age,km_class,km_per_year,km_per_month,company
24,Royal Enfield Thunderbird 350,110000.0,2016,Individual,1st owner,20000,,6,4,3333.333,277.778,Royal Enfield
25,Honda Dream Yuga,25000.0,2012,Individual,1st owner,35000,56147.0,10,7,3500.0,291.667,Honda
26,TVS Apache RTR 160 4V,80000.0,2018,Individual,1st owner,15210,,4,4,3802.5,316.875,TVS
27,Honda Navi [2016-2017],42000.0,2017,Individual,1st owner,24000,44389.0,5,5,4800.0,400.0,Honda
28,Yamaha Fazer [2009-2016],40000.0,2013,Individual,3rd owner,35000,84751.0,9,7,3888.889,324.074,Yamaha
29,Hero Honda Splendor NXG,21000.0,2009,Individual,1st owner,10000,,13,2,769.231,64.103,Hero Honda
30,Hero Glamour 125,55000.0,2017,Individual,1st owner,2500,61600.0,5,1,500.0,41.667,Hero
31,Yamaha FZ S [2012-2016],38000.0,2013,Individual,1st owner,75000,79432.0,9,15,8333.333,694.444,Yamaha
32,Hero Xtreme Sports,43000.0,2016,Individual,2nd owner,50000,78350.0,6,10,8333.333,694.444,Hero
33,Honda X-Blade,65000.0,2018,Individual,1st owner,27000,,4,6,6750.0,562.5,Honda
34,Honda CB Shine SP,62000.0,2019,Individual,1st owner,10000,71049.0,3,2,3333.333,277.778,Honda
35,Honda Activa 5G,60000.0,2018,Individual,1st owner,6502,57557.0,4,2,1625.5,135.458,Honda
36,Hero Glamour 125,45000.0,2018,Individual,1st owner,21000,61600.0,4,5,5250.0,437.5,Hero
37,Honda CBR-250R,120000.0,2016,Individual,1st owner,16000,202310.0,6,4,2666.667,222.222,Honda
38,Hero Honda Passion PRO [2012],30000.0,2011,Individual,1st owner,42000,,11,9,3818.182,318.182,Hero Honda
39,Royal Enfield Thunderbird 350,90000.0,2015,Individual,3rd owner,13000,,7,3,1857.143,154.762,Royal Enfield
40,Bajaj Dominar 400,125000.0,2017,Individual,1st owner,12800,,5,3,2560.0,213.333,Bajaj
41,Hero Glamour FI,50000.0,2018,Individual,1st owner,20000,71150.0,4,4,5000.0,416.667,Hero
42,KTM 390 Duke,175000.0,2017,Individual,1st owner,4600,,5,1,920.0,76.667,KTM
43,Hero Passion XPro,28000.0,2012,Individual,1st owner,81000,56750.0,10,17,8100.0,675.0,Hero
44,Yamaha FZ S V 2.0,85000.0,2018,Individual,1st owner,8000,84042.0,4,2,2000.0,166.667,Yamaha
45,Hero Achiever 150,29900.0,2016,Individual,1st owner,55000,69750.0,6,11,9166.667,763.889,Hero
46,Bajaj Discover 125,25000.0,2011,Individual,1st owner,57000,60122.0,11,12,5181.818,431.818,Bajaj
47,Yamaha FZ16,30000.0,2009,Individual,2nd owner,26000,78712.0,13,6,2000.0,166.667,Yamaha
48,Yamaha Saluto,60000.0,2018,Individual,1st owner,13000,59844.0,4,3,3250.0,270.833,Yamaha
49,Yamaha FZ16,35000.0,2012,Individual,2nd owner,29000,78712.0,10,6,2900.0,241.667,Yamaha
50,Bajaj Discover 100,25000.0,2010,Individual,1st owner,43000,42859.0,12,9,3583.333,298.611,Bajaj
51,Honda CB Trigger,30000.0,2015,Individual,1st owner,40000,73413.0,7,8,5714.286,476.19,Honda
52,Royal Enfield Electra 5 S,90000.0,2010,Individual,2nd owner,40000,,12,8,3333.333,277.778,Royal Enfield
53,Hero Splendor PRO,35000.0,2015,Individual,2nd owner,24000,49900.0,7,5,3428.571,285.714,Hero
54,Honda Activa 5G,70000.0,2019,Individual,1st owner,3000,59422.0,3,1,1000.0,83.333,Honda
55,Hero Honda Passion Plus,25000.0,2006,Individual,1st owner,75000,,16,15,4687.5,390.625,Hero Honda
56,Bajaj Pulsar 150,25000.0,2010,Individual,1st owner,42000,,12,9,3500.0,291.667,Bajaj
57,Royal Enfield Bullet 350,90000.0,2014,Individual,1st owner,13000,,8,3,1625.0,135.417,Royal Enfield
58,Bajaj Discover 125,25000.0,2013,Individual,1st owner,55000,57549.0,9,11,6111.111,509.259,Bajaj
59,Bajaj Pulsar 150 [2001-2011],42000.0,2011,Individual,1st owner,23000,,11,5,2090.909,174.242,Bajaj
60,Hero Splendor PRO,35000.0,2015,Individual,2nd owner,24000,51994.0,7,5,3428.571,285.714,Hero
61,Hero Xtreme Sports,50000.0,2014,Individual,1st owner,80000,80350.0,8,16,10000.0,833.333,Hero
62,Honda Activa 3G,30000.0,2015,Individual,1st owner,39000,54605.0,7,8,5571.429,464.286,Honda
63,Yamaha FZ16,48000.0,2016,Individual,1st owner,20000,78712.0,6,4,3333.333,277.778,Yamaha
64,Honda CB Hornet 160R,65000.0,2016,Individual,1st owner,30000,88161.0,6,6,5000.0,416.667,Honda
65,Royal Enfield Thunderbird 350,85000.0,2013,Individual,1st owner,21000,,9,5,2333.333,194.444,Royal Enfield
66,Hero Hunk,45000.0,2014,Individual,1st owner,41000,78513.0,8,9,5125.0,427.083,Hero
67,Suzuki Let''s,34000.0,2014,Individual,1st owner,8000,50098.0,8,2,1000.0,83.333,Suzuki
68,Royal Enfield Electra 4 S,90000.0,2008,Individual,1st owner,50000,,14,10,3571.429,297.619,Royal Enfield
69,TVS Scooty Pep Plus,35000.0,2012,Individual,1st owner,8150,,10,2,815.0,67.917,TVS
70,Mahindra Mojo XT300,165000.0,2017,Individual,1st owner,1933,195500.0,5,1,386.6,32.217,Mahindra
71,TVS Apache RTR 160,35000.0,2013,Individual,1st owner,55750,,9,12,6194.444,516.204,TVS
72,Bajaj Pulsar AS200,65000.0,2015,Individual,1st owner,15856,92074.0,7,4,2265.143,188.762,Bajaj
73,Bajaj Pulsar 150,29500.0,2013,Individual,1st owner,27000,,9,6,3000.0,250.0,Bajaj
74,Royal Enfield Thunderbird 350X,165000.0,2019,Individual,1st owner,3700,164004.0,3,1,1233.333,102.778,Royal Enfield
75,Suzuki Intruder 150,95000.0,2018,Individual,1st owner,21938,,4,5,5484.5,457.042,Suzuki
76,Hero Honda Karizma ZMR [2010],50000.0,2010,Individual,1st owner,48000,,12,10,4000.0,333.333,Hero Honda
77,Honda Dio,7500.0,2009,Individual,2nd owner,16000,,13,4,1230.769,102.564,Honda
78,Bajaj Xcd,25000.0,2008,Individual,1st owner,54000,,14,11,3857.143,321.429,Bajaj
79,Hero Splendor Plus,35000.0,2014,Individual,2nd owner,35000,,8,7,4375.0,364.583,Hero
80,Royal Enfield Thunderbird 350X,160000.0,2018,Individual,1st owner,15000,,4,3,3750.0,312.5,Royal Enfield
81,Honda CB Unicorn 150,50000.0,2014,Individual,1st owner,32000,74295.0,8,7,4000.0,333.333,Honda
82,Honda Activa 5G,62000.0,2019,Individual,1st owner,3500,57557.0,3,1,1166.667,97.222,Honda
83,Honda CB Twister,30000.0,2013,Individual,1st owner,9000,53857.0,9,2,1000.0,83.333,Honda
84,Hero Splendor PRO,28000.0,2015,Individual,1st owner,38000,49642.0,7,8,5428.571,452.381,Hero
85,Hero Honda CD Deluxe,25000.0,2009,Individual,1st owner,50000,,13,10,3846.154,320.513,Hero Honda
86,Honda Activa i [2016-2017],30000.0,2015,Individual,2nd owner,20000,51112.0,7,4,2857.143,238.095,Honda
87,Royal Enfield Classic Gunmetal Grey,140000.0,2018,Individual,1st owner,22000,148114.0,4,5,5500.0,458.333,Royal Enfield
88,TVS Scooty Zest 110,30000.0,2017,Individual,1st owner,9432,53751.0,5,2,1886.4,157.2,TVS
89,Hero CD Deluxe,25000.0,2014,Individual,1st owner,70000,,8,14,8750.0,729.167,Hero
90,Suzuki Access 125 [2007-2016],22000.0,2010,Individual,2nd owner,43000,58314.0,12,9,3583.333,298.611,Suzuki
91,Honda Activa [2000-2015],22989.0,2012,Individual,1st owner,500000,50267.0,10,100,50000.0,4166.667,Honda
92,Honda Activa 125 [2016-2017],42000.0,2016,Individual,1st owner,30514,61653.0,6,7,5085.667,423.806,Honda
93,Suzuki GS150R,30000.0,2010,Individual,1st owner,130000,70851.0,12,26,10833.333,902.778,Suzuki
94,Bajaj Pulsar 220S,55000.0,2015,Individual,1st owner,45000,,7,9,6428.571,535.714,Bajaj
95,Honda Activa 4G,45000.0,2018,Individual,1st owner,25000,53079.0,4,5,6250.0,520.833,Honda
96,Yamaha FZ25,150000.0,2019,Individual,1st owner,2500,133680.0,3,1,833.333,69.444,Yamaha
97,Bajaj Pulsar 150,42000.0,2015,Individual,1st owner,22770,,7,5,3252.857,271.071,Bajaj
98,Hero Splendor Plus,30000.0,2015,Individual,1st owner,30000,,7,6,4285.714,357.143,Hero
99,Bajaj Discover 100,24999.0,2012,Individual,2nd owner,35000,42859.0,10,7,3500.0,291.667,Bajaj
100,Royal Enfield Thunderbird 350X,160000.0,2019,Individual,1st owner,6330,,3,2,2110.0,175.833,Royal Enfield
101,Royal Enfield Classic 350,175000.0,2020,Individual,1st owner,500,,2,1,250.0,20.833,Royal Enfield
102,Bajaj Pulsar 150,40000.0,2013,Individual,1st owner,43400,,9,9,4822.222,401.852,Bajaj
103,Bajaj Pulsar NS160,85000.0,2018,Individual,1st owner,7004,,4,2,1751.0,145.917,Bajaj
104,Royal Enfield Classic Desert Storm,150000.0,2017,Individual,1st owner,16500,181445.0,5,4,3300.0,275.0,Royal Enfield
105,Suzuki Gixxer SF,80000.0,2018,Individual,1st owner,12500,,4,3,3125.0,260.417,Suzuki
106,TVS Apache RTR 200 4V,95000.0,2018,Individual,1st owner,9600,,4,2,2400.0,200.0,TVS
107,Bajaj V15,42000.0,2016,Individual,1st owner,35000,65626.0,6,7,5833.333,486.111,Bajaj
108,TVS XL 100 Heavy Duty,40000.0,2019,Individual,1st owner,11000,,3,3,3666.667,305.556,TVS
109,Yamaha FZ S V 2.0,50000.0,2015,Individual,1st owner,20000,84042.0,7,4,2857.143,238.095,Yamaha
110,Hero HF Deluxe,40000.0,2018,Individual,1st owner,13000,,4,3,3250.0,270.833,Hero
111,Aprilia SR 125,75000.0,2019,Individual,1st owner,3500,,3,1,1166.667,97.222,Aprilia
112,Yamaha FZ25,120000.0,2017,Individual,1st owner,9000,132680.0,5,2,1800.0,150.0,Yamaha
113,Hero Honda Glamour,30000.0,2008,Individual,1st owner,7500,,14,2,535.714,44.643,Hero Honda
114,Bajaj Discover 125 ST,17500.0,2013,Individual,1st owner,38000,58438.0,9,8,4222.222,351.852,Bajaj
115,Hero Honda Passion Plus,7500.0,2004,Individual,1st owner,120000,,18,24,6666.667,555.556,Hero Honda
116,Honda Aviator,57000.0,2018,Individual,1st owner,6465,61118.0,4,2,1616.25,134.688,Honda
117,Vespa SXL 149,80000.0,2018,Individual,1st owner,18803,,4,4,4700.75,391.729,Vespa
118,TVS Scooty Pep Plus,18000.0,2010,Individual,1st owner,20000,,12,4,1666.667,138.889,TVS
119,Hero Xtreme [2013-2014],25000.0,2013,Individual,1st owner,24000,75936.0,9,5,2666.667,222.222,Hero
120,Royal Enfield Thunderbird 350,83900.0,2014,Individual,2nd owner,22000,,8,5,2750.0,229.167,Royal Enfield
121,UM Renegade Commando,160000.0,2018,Individual,1st owner,7000,180525.0,4,2,1750.0,145.833,UM
122,Royal Enfield Classic Gunmetal Grey,135000.0,2018,Individual,1st owner,6100,148114.0,4,2,1525.0,127.083,Royal Enfield
123,Honda CB Hornet 160R,55000.0,2017,Individual,1st owner,14000,87543.0,5,3,2800.0,233.333,Honda
124,Honda Shine,50000.0,2017,Individual,1st owner,23000,,5,5,4600.0,383.333,Honda
125,Bajaj Discover 100,20000.0,2012,Individual,1st owner,85000,42859.0,10,17,8500.0,708.333,Bajaj
126,Hero Honda CBZ extreme,25000.0,2010,Individual,1st owner,40000,,12,8,3333.333,277.778,Hero Honda
127,Royal Enfield Classic 350,125000.0,2017,Individual,1st owner,18000,,5,4,3600.0,300.0,Royal Enfield
128,Honda Activa 5G,55000.0,2019,Individual,1st owner,10000,57557.0,3,2,3333.333,277.778,Honda
129,Bajaj Avenger Street 150 [2018],50000.0,2016,Individual,1st owner,40000,80435.0,6,8,6666.667,555.556,Bajaj
130,Royal Enfield Continental GT 650,299000.0,2019,Individual,1st owner,1500,,3,1,500.0,41.667,Royal Enfield
131,Honda Activa 3G,60000.0,2015,Individual,1st owner,30000,54605.0,7,6,4285.714,357.143,Honda
132,Honda Activa 3G,40000.0,2015,Individual,1st owner,3000,54605.0,7,1,428.571,35.714,Honda
133,Bajaj Pulsar 180,15000.0,2008,Individual,1st owner,55000,85011.0,14,11,3928.571,327.381,Bajaj
134,Harley-Davidson Street Bob,750000.0,2013,Individual,2nd owner,12000,1278000.0,9,3,1333.333,111.111,Harley-Davidson
135,Hero Honda CBZ extreme,20000.0,2007,Individual,1st owner,90000,,15,18,6000.0,500.0,Hero Honda
136,Royal Enfield Classic Gunmetal Grey,190000.0,2020,Individual,1st owner,500,155740.0,2,1,250.0,20.833,Royal Enfield
137,KTM 390 Duke ABS [2013-2016],130000.0,2015,Individual,1st owner,50000,202127.0,7,10,7142.857,595.238,KTM
138,Honda CB Hornet 160R,54786.0,2016,Individual,1st owner,25000,88161.0,6,5,4166.667,347.222,Honda
139,KTM 200 Duke,72000.0,2013,Individual,1st owner,36500,,9,8,4055.556,337.963,KTM
140,Hero Karizma 2014,35000.0,2013,Individual,1st owner,26000,86744.0,9,6,2888.889,240.741,Hero
141,Hero Glamour 125,45000.0,2017,Individual,1st owner,18000,61600.0,5,4,3600.0,300.0,Hero
142,Royal Enfield Classic 350,85000.0,2013,Individual,1st owner,49000,,9,10,5444.444,453.704,Royal Enfield
143,Royal Enfield Classic 500,100000.0,2013,Individual,1st owner,18000,156304.0,9,4,2000.0,166.667,Royal Enfield
144,Bajaj Dominar 400,138000.0,2017,Individual,1st owner,15000,,5,3,3000.0,250.0,Bajaj
145,Royal Enfield Thunderbird 350X,150000.0,2018,Individual,1st owner,8500,,4,2,2125.0,177.083,Royal Enfield
146,KTM RC 390,180000.0,2017,Individual,1st owner,3775,,5,1,755.0,62.917,KTM
147,Royal Enfield Thunderbird 350,100000.0,2015,Individual,1st owner,14500,,7,3,2071.429,172.619,Royal Enfield
148,Hero Hunk,20000.0,2010,Individual,1st owner,35000,78513.0,12,7,2916.667,243.056,Hero
149,KTM 390 Duke,170000.0,2017,Individual,1st owner,14000,,5,3,2800.0,233.333,KTM
150,Suzuki Gixxer [2014-2018],60000.0,2016,Individual,1st owner,16000,84246.0,6,4,2666.667,222.222,Suzuki
151,Royal Enfield Bullet 350,123000.0,2016,Individual,1st owner,7000,,6,2,1166.667,97.222,Royal Enfield
152,Suzuki Access 125,60000.0,2017,Individual,1st owner,4000,,5,1,800.0,66.667,Suzuki
153,TVS Apache RTR 200 4V,100000.0,2017,Individual,1st owner,45000,,5,9,9000.0,750.0,TVS
154,Hero Xtreme Sports,22000.0,2014,Individual,1st owner,99000,78350.0,8,20,12375.0,1031.25,Hero
155,Honda Activa [2000-2015],30000.0,2014,Individual,1st owner,52000,50267.0,8,11,6500.0,541.667,Honda
156,Bajaj Discover 125,28000.0,2013,Individual,1st owner,45000,60122.0,9,9,5000.0,416.667,Bajaj
157,Bajaj Pulsar 150,50000.0,2007,Individual,1st owner,52000,,15,11,3466.667,288.889,Bajaj
158,Yamaha Saluto RX,40000.0,2017,Individual,1st owner,27000,49521.0,5,6,5400.0,450.0,Yamaha
159,Hero HF Deluxe,43000.0,2018,Individual,1st owner,60000,,4,12,15000.0,1250.0,Hero
160,Suzuki Access 125,40000.0,2015,Individual,1st owner,2300,,7,1,328.571,27.381,Suzuki
161,Royal Enfield Classic Desert Storm,100000.0,2012,Individual,1st owner,15000,181445.0,10,3,1500.0,125.0,Royal Enfield
162,Hero HF Deluxe,30000.0,2016,Individual,1st owner,50000,,6,10,8333.333,694.444,Hero
163,KTM RC 200,130000.0,2017,Individual,1st owner,27000,,5,6,5400.0,450.0,KTM
164,Honda CB Hornet 160R,48000.0,2016,Individual,2nd owner,25000,88161.0,6,5,4166.667,347.222,Honda
165,Bajaj CT 100,32000.0,2017,Individual,1st owner,40000,,5,8,8000.0,666.667,Bajaj
166,Hero Honda Pleasure,23000.0,2010,Individual,1st owner,32000,,12,7,2666.667,222.222,Hero Honda
167,Bajaj Pulsar 135 LS,20000.0,2010,Individual,2nd owner,50000,64589.0,12,10,4166.667,347.222,Bajaj
168,Royal Enfield Classic 350,125000.0,2017,Individual,1st owner,36000,,5,8,7200.0,600.0,Royal Enfield
169,Honda Navi [2016-2017],23000.0,2016,Individual,1st owner,17450,44389.0,6,4,2908.333,242.361,Honda
170,Bajaj Discover 125,15000.0,2011,Individual,1st owner,32000,57549.0,11,7,2909.091,242.424,Bajaj
171,Yamaha SZ RR V 2.0,35000.0,2015,Individual,1st owner,38000,69983.0,7,8,5428.571,452.381,Yamaha
172,Bajaj Discover 150,25000.0,2014,Individual,2nd owner,71000,54299.0,8,15,8875.0,739.583,Bajaj
173,Bajaj Pulsar 150,80000.0,2019,Individual,1st owner,8000,,3,2,2666.667,222.222,Bajaj
174,TVS Flame,15000.0,2010,Individual,1st owner,12000,,12,3,1000.0,83.333,TVS
175,Vespa VX 125,45000.0,2013,Individual,2nd owner,50000,72303.0,9,10,5555.556,462.963,Vespa
176,Yamaha SZ X,25000.0,2012,Individual,2nd owner,30000,65800.0,10,6,3000.0,250.0,Yamaha
177,Honda CBF Stunner,35000.0,2013,Individual,1st owner,15888,58757.0,9,4,1765.333,147.111,Honda
178,Bajaj Discover 100 T,25000.0,2013,Individual,1st owner,26000,47032.0,9,6,2888.889,240.741,Bajaj
179,Royal Enfield Classic 350,170000.0,2018,Individual,1st owner,5600,,4,2,1400.0,116.667,Royal Enfield
180,Honda Activa [2000-2015],25000.0,2014,Individual,1st owner,41000,50267.0,8,9,5125.0,427.083,Honda
181,Royal Enfield Electra 5 S,60000.0,2007,Individual,2nd owner,19612,,15,4,1307.467,108.956,Royal Enfield
182,Bajaj Pulsar 150,41000.0,2012,Individual,1st owner,17000,,10,4,1700.0,141.667,Bajaj
183,Honda Shine,35000.0,2012,Individual,1st owner,33700,,10,7,3370.0,280.833,Honda
184,Honda CB Unicorn 160,75000.0,2015,Individual,1st owner,100000,79233.0,7,20,14285.714,1190.476,Honda
185,Honda Activa 3G,47999.0,2016,Individual,1st owner,6000,54605.0,6,2,1000.0,83.333,Honda
186,Honda Shine,36999.0,2011,Individual,1st owner,21000,,11,5,1909.091,159.091,Honda
187,Bajaj Pulsar 180,25000.0,2007,Individual,1st owner,80000,85011.0,15,16,5333.333,444.444,Bajaj
188,Suzuki Gixxer SF,60000.0,2016,Individual,1st owner,15000,,6,3,2500.0,208.333,Suzuki
189,Honda CB Unicorn 150,50000.0,2007,Individual,1st owner,46000,74295.0,15,10,3066.667,255.556,Honda
190,Yamaha YZF R15 [2011-2018],65000.0,2013,Individual,1st owner,11000,118997.0,9,3,1222.222,101.852,Yamaha
191,TVS Sport,12000.0,2007,Individual,1st owner,72000,,15,15,4800.0,400.0,TVS
192,Bajaj Pulsar AS200,60000.0,2015,Individual,1st owner,50000,92074.0,7,10,7142.857,595.238,Bajaj
193,Honda Activa [2000-2015],20000.0,2010,Individual,1st owner,50000,50267.0,12,10,4166.667,347.222,Honda
194,Yamaha FZ16,27000.0,2011,Individual,1st owner,67000,78712.0,11,14,6090.909,507.576,Yamaha
195,Bajaj Boxer,10000.0,2000,Individual,1st owner,30000,,22,6,1363.636,113.636,Bajaj
196,Hero Honda Hunk,56000.0,2015,Individual,1st owner,48000,,7,10,6857.143,571.429,Hero Honda
197,Hero Honda Hunk,58000.0,2015,Individual,1st owner,48000,,7,10,6857.143,571.429,Hero Honda
198,Bajaj Avenger Cruise 220,87000.0,2018,Individual,1st owner,8000,,4,2,2000.0,166.667,Bajaj
199,Yamaha Ray Z,35000.0,2015,Individual,1st owner,15500,52949.0,7,4,2214.286,184.524,Yamaha
200,Bajaj Pulsar 180,35000.0,2012,Individual,1st owner,45000,85011.0,10,9,4500.0,375.0,Bajaj
201,Bajaj Discover 150F,40000.0,2014,Individual,2nd owner,60855,64071.0,8,13,7606.875,633.906,Bajaj
202,Bajaj Pulsar 135 LS,56000.0,2017,Individual,3rd owner,37714,64589.0,5,8,7542.8,628.567,Bajaj
203,Bajaj Pulsar 180,30000.0,2008,Individual,2nd owner,60000,85011.0,14,12,4285.714,357.143,Bajaj
204,Honda Activa 125 [2016-2017],40000.0,2017,Individual,1st owner,26000,61545.0,5,6,5200.0,433.333,Honda
205,Hero HF Deluxe,60000.0,2019,Individual,1st owner,6000,,3,2,2000.0,166.667,Hero
206,Hero Karizma 2014,40000.0,2013,Individual,1st owner,30000,86744.0,9,6,3333.333,277.778,Hero
207,Bajaj Platina 100,40000.0,2018,Individual,1st owner,17000,,4,4,4250.0,354.167,Bajaj
208,Royal Enfield Bullet 500,130000.0,2015,Individual,1st owner,34601,168482.0,7,7,4943.0,411.917,Royal Enfield
209,Bajaj Pulsar AS200,45000.0,2015,Individual,1st owner,48000,92074.0,7,10,6857.143,571.429,Bajaj
210,Yamaha FZ S [2012-2016],42000.0,2013,Individual,1st owner,60000,79432.0,9,12,6666.667,555.556,Yamaha
211,Bajaj Pulsar 220 Fi,25000.0,2012,Individual,1st owner,44000,,10,9,4400.0,366.667,Bajaj
212,Bajaj Pulsar 150,15000.0,2006,Individual,1st owner,55000,,16,11,3437.5,286.458,Bajaj
213,Bajaj Dominar 400 [2018],170000.0,2018,Individual,1st owner,16000,163331.0,4,4,4000.0,333.333,Bajaj
214,Hero Passion X Pro [2016-2017],38000.0,2016,Individual,2nd owner,20000,59095.0,6,4,3333.333,277.778,Hero
215,Yamaha FZ S V 2.0,60000.0,2015,Individual,2nd owner,17500,84042.0,7,4,2500.0,208.333,Yamaha
216,TVS Apache RTR 160,65000.0,2017,Individual,1st owner,46000,,5,10,9200.0,766.667,TVS
217,Bajaj Avenger [2015],35000.0,2011,Individual,1st owner,30000,75502.0,11,6,2727.273,227.273,Bajaj
218,Bajaj Pulsar 150,70000.0,2019,Individual,1st owner,6500,,3,2,2166.667,180.556,Bajaj
219,Hero Honda Glamour,15000.0,2006,Individual,1st owner,80000,,16,16,5000.0,416.667,Hero Honda
220,Hero Splendor iSmart,50000.0,2017,Individual,2nd owner,10000,52271.0,5,2,2000.0,166.667,Hero
221,Royal Enfield Classic 350,145000.0,2017,Individual,1st owner,2200,,5,1,440.0,36.667,Royal Enfield
222,Yamaha FZ16,25000.0,2008,Individual,1st owner,40000,78712.0,14,8,2857.143,238.095,Yamaha
223,Hero Xtreme Sports,58000.0,2016,Individual,1st owner,21000,80350.0,6,5,3500.0,291.667,Hero
224,Royal Enfield Bullet 350 [2007-2011],90000.0,2007,Individual,1st owner,3500,,15,1,233.333,19.444,Royal Enfield
225,Hero Honda Passion,9000.0,2002,Individual,2nd owner,66191,,20,14,3309.55,275.796,Hero Honda
226,Bajaj Discover 150S,40000.0,2014,Individual,1st owner,50000,63331.0,8,10,6250.0,520.833,Bajaj
227,TVS Scooty Zest 110,28000.0,2015,Individual,1st owner,32800,52372.0,7,7,4685.714,390.476,TVS
228,Bajaj Avenger Street 150 [2018],50000.0,2016,Individual,1st owner,32000,80435.0,6,7,5333.333,444.444,Bajaj
229,Yamaha Cygnus Ray ZR,56000.0,2019,Individual,1st owner,3900,58630.0,3,1,1300.0,108.333,Yamaha
230,Honda Activa [2000-2015],35000.0,2014,Individual,1st owner,10000,50267.0,8,2,1250.0,104.167,Honda
231,TVS Apache RTR 200 4V,95000.0,2018,Individual,1st owner,9600,,4,2,2400.0,200.0,TVS
232,Honda Shine,30000.0,2010,Individual,1st owner,46782,,12,10,3898.5,324.875,Honda
233,Honda CB Hornet 160R,95000.0,2019,Individual,1st owner,8000,94703.0,3,2,2666.667,222.222,Honda
234,Honda Activa i [2016-2017],40000.0,2017,Individual,1st owner,11000,53436.0,5,3,2200.0,183.333,Honda
235,Hero Karizma 2014,30000.0,2014,Individual,2nd owner,51000,86744.0,8,11,6375.0,531.25,Hero
236,Bajaj Discover 100 T,18000.0,2013,Individual,1st owner,45000,47032.0,9,9,5000.0,416.667,Bajaj
237,Honda Aviator,14000.0,2008,Individual,1st owner,66000,59183.0,14,14,4714.286,392.857,Honda
238,Hero Splendor Plus,17000.0,2010,Individual,2nd owner,50000,,12,10,4166.667,347.222,Hero
239,Royal Enfield Thunderbird 350,125000.0,2017,Individual,1st owner,23500,,5,5,4700.0,391.667,Royal Enfield
240,Bajaj CT 110,20000.0,2015,Individual,1st owner,25000,,7,5,3571.429,297.619,Bajaj
241,Hero Passion PRO i3s,50000.0,2017,Individual,1st owner,41000,56925.0,5,9,8200.0,683.333,Hero
242,KTM RC 390,210000.0,2017,Individual,1st owner,12000,,5,3,2400.0,200.0,KTM
243,Bajaj Pulsar 220F,70000.0,2018,Individual,1st owner,33000,,4,7,8250.0,687.5,Bajaj
244,Hero Maestro Edge,40000.0,2017,Individual,1st owner,15000,55980.0,5,3,3000.0,250.0,Hero
245,Bajaj Xcd,10000.0,2008,Individual,1st owner,50000,,14,10,3571.429,297.619,Bajaj
